City,population,area,density
Gandhinagar,208299,326,638.9539877
Hyderabad,6809000,260,26188.46154
Hāpur,1338211,660,2027.592424
Jaipur,3046000,467,6522.48394
Kolkata,4497000,206.1,21819.50509
Mumbai,12400000,603.4,20550.21545
Muzaffarnagar,495543,204.8,2419.643555
Thiruvananthapuram,957730,214,4475.373832
Thrissur,315596,101.42,3111.772826
Visakhapatnam,1730320,540,3204.296296
Yazd,1236000,73477,16.82159043
Netanya,183200,28.5,6428.070175
Tel Aviv,460613,52,8857.942308
Brescia,195102,90.68,2151.543891
Livorno,158916,104.1,1526.570605
Milan,1399860,181.76,7701.694542
Naples,967068,119.02,8125.256259
Rome,2877000,1285,2238.910506
Akita,323600,905.67,357.304537
Chiba,961749,272.08,3534.802264
Fukuoka,1463743,341.32,4288.477089
Gifu-shi,413136,202.89,2036.256099
Hiroshima,1173843,905.41,1296.476734
Kagoshima,605846,547.06,1107.458048
Kanazawa,462361,467.77,988.4366248
Kobe,1544200,552.66,2794.122969
Kochi,343393,309.22,1110.51355
Kyoto,1474015,827.9,1780.42638
Miyazaki,400583,644.61,621.4346659
Nagasaki,443766,406.43,1091.863297
Naha,315954,39.24,8051.834862
Nara-shi,366591,276.84,1324.198093
Okayama,709584,789.91,898.309934
Sapporo,1913545,1121.12,1706.815506
Sendai,1045986,783.54,1334.949077
Shizuoka,716197,1411.85,507.2755604
Tokyo,9570000,618,15485.43689
Toyama,421953,1241.85,339.7777509
Utsunomiya,511739,416.84,1227.662892
Wakayama,370364,209.23,1770.128567
Ōita,474094,501.28,945.7668369
Guadalajara,1495000,187.9,7956.359766
Monterrey,1131000,324.4,3486.436498
Oaxaca,715000,85.48,8364.529715
Pachuca de Soto,297848,60.06,4959.174159
San Luis Potosí,722772,385,1877.32987
Tepic,419296,1983.3,211.4133011
Toluca,910608,420.1,2167.598191
Bydgoszcz,348190,174.57,1994.558057
Gdańsk,470633,262,1796.30916
Kraków,780796,326.8,2389.216646
Poznań,532048,261.85,2031.880848
Szczecin,398255,301,1323.106312
Wrocław,641928,292.8,2192.377049
Łódź,672185,293.25,2292.190963
Nizhniy Novgorod,1251000,460,2719.565217
Niš,260237,596.73,436.1051062
East London,48544,168.86,287.4807533
Middelburg,47308,53.05,891.7624882
Vereeniging,99000,188.19,526.0640842
Worcester,206518,99.57,2074.098624
Andong,158765,1590.91,99.79508583
Busan,3411829,770.04,4430.716586
Changwon,1070199,747.12,1432.432541
Cheongju-si,846291,940.3,900.0223333
Chuncheon,281725,1116.43,252.3445268
Daejeon,1535191,539.8,2843.999629
Gwangju,1490092,501.24,2972.811428
Incheon,2890451,1051.49,2748.909643
Jeju City,486306,977.8,497.3471057
Mokpo,247442,50.08,4940.934505
Pohang,514869,1128.76,456.1368227
Seongnam-si,994000,141.7,7014.820042
Seoul,10290000,605.2,17002.64375
Suncheon,279435,907.2,308.0191799
Ulsan,1163000,1057,1100.283822
Barcelona,1605000,101.4,15828.40237
Bilbao,346574,40.65,8525.805658
Gasteiz / Vitoria,252571,276.81,912.4345219
Madrid,3141000,604.3,5197.749462
Oviedo,220020,186.6,1179.099678
Palma,409661,208.6,1963.85906
Salamanca,144825,39.34,3681.367565
Valencia,1541000,134.6,11448.737
Hsinchu,448207,104.15,4303.475756
Kaohsiung,2540000,2952,860.4336043
Keelung,369055,132.8,2779.028614
Taichung,2520000,2215,1137.697517
Taipei,2705000,271.8,9952.170714
Taitung City,106929,109.7691,974.1265985
Taoyuan City,2245059,1221,1838.70516
Bangkok,8281000,1569,5277.884003
Chiang Mai,127240,40.216,3163.91486
Chon Buri,1535445,4363,351.9241348
Nakhon Pathom,882184,5616,157.0840456
Rayong,661220,3552,186.1542793
Adapazarı,313355,562,557.5711744
Antakya,470833,858.08,548.7052489
Balıkesir,1228620,1454,844.9931224
Erzurum,758279,25005,30.32509498
Eskişehir,887475,2678,331.3946975
Istanbul,14657000,5343,2743.215422
Kayseri,1434357,17040,84.17588028
Konya,1220795,38870,31.40712632
Kütahya,213000,2484,85.74879227
Samsun,396900,1055,376.2085308
İzmit,1422752,3524,403.7321226
Belfast,341877,115,2972.843478
Edinburgh,482640,264,1828.181818
Leeds,789194,551.7,1430.476708
Albuquerque,564559,469.5,1202.468584
Boise,235684,220.1,1070.80418
Jackson,172638,293.3,588.6055234
Jacksonville,949611,2264.6,419.3283582
Las Vegas,596424,352,1694.386364
Los Angeles,3976000,1302,3053.763441
Milwaukee,594833,251,2369.85259
Phoenix,1563000,1338,1168.161435
Saint Paul,285068,145.6,1957.884615
Hanoi,4062500,319.56,12712.79259
Hạ Long,300267,1119.36,268.2488208
Changzhou,3290000,4385,750.2850627
Shanghai,24153000,6340,3809.621451
Sanandaj,432330,3033,142.5420376
Tehran,8847000,730,12119.17808
Haifa,264900,63.66,4161.168709
Nagano,370478,834.81,443.7872091
Takamatsu,415908,375.54,1107.49321
Yokohama,3733000,437.78,8527.114076
Morelia,849053,1336,635.5187126
Tarnów,107498,72.38,1485.189279
Warsaw,1749000,517.2,3381.670534
Saint Petersburg,5351935,1439,3719.204309
Yeosu,295538,503.33,587.1654779
Granada,239017,88.02,2715.485117
Huelva,148101,151.3,978.8565763
Las Palmas de Gran Canaria,383050,100.6,3807.654076
Indianapolis,887642,952.9,931.5164235
Raleigh,403892,382.4,1056.202929
Mainz,217123,97.75,2221.207161
Khorramabad,339759,62,5479.983871
Tabriz,1773000,324,5472.222222
Haarlem,161265,32.09,5025.39732
Novi Sad,382010,702.7,543.6317063
San Jose,1013240,469.7,2157.206728
Puebla,3199530,546,5859.945055
Oklahoma City,655057,1608,407.3737562
Los Ángeles,3976000,1302,3053.763441
Qom,1201158,11526,104.2129099
Zanjān,1015734,21773,46.65108161
Chihuahua,809232,8384.3,96.51753873
Cardiff,364248,140.3,2596.208125
Huế,652572,266,2453.278195
Zenica,127334,499.7,254.8208925
Chennai,7088000,426,16638.49765
Gent,263614,156.2,1687.669654
Atlanta,498715,343,1453.979592
Zagreb,792875,641,1236.934477
Bandar Abbas,646000,164,3939.02439
Shillong,143229,64.36,2225.435053
Southend-on-Sea,173600,41.76,4157.088123
Patna,1683200,250,6732.8
Lampang,58074,22.17,2619.485792
Lucknow,2815601,689.1,4085.910608
Novosibirsk,1567000,503.1,3114.688929
Kielce,193415,109.6,1764.735401
Detroit,639111,370.2,1726.393841
Denver,715522,401.3,1783.010217
Pretoria,525387,513.84,1022.471976
Jerusalem,874186,125.1,6987.897682
El Paso,678815,671.5,1010.893522
Tuzla,131444,303,433.8085809
Adelaide,1730000,3260,530.6748466
Sydney,5005000,12370,404.6079224
Brussels,173540,32.61,5321.680466
Sarajevo,311161,141.5,2199.017668
São José dos Campos,688597,1100,625.9972727
Surrey,1189934,1663,715.5345761
Concepción,292589,221.6,1320.347473
Santiago,5613962,641,8758.131045
Changchun,3815000,24730,154.2660736
Chongqing,32054159,82300,389.4794532
Dongguan,10466625,2465,4246.095335
Lanzhou,2177000,13090,166.3101604
Shenyang,9070093,12940,700.934544
Shijiazhuang,4303000,15850,271.4826498
Wuhan,12326500,8494.41,1451.130802
Wuxi,3542000,4628,765.3414002
Xuchang,4379998,4978.36,879.8074065
Rijeka,219325,44,4984.659091
Paris,2230000,105.4,21157.49526
Kecskemét,109847,321.4,341.7766024
Ghāziābād,2360000,210,11238.09524
Mysore,920550,155,5939.032258
Nagpur,2405000,393.5,6111.817027
Petaẖ Tiqwa,247956,39,6357.846154
Matsuyama,509216,429.35,1186.016071
Nagoya,2325916,326.5,7123.785605
Niigata,784251,726.27,1079.833946
Osaka,2750835,225.33,12208.02823
Cuernavaca,366321,151.2,2422.757937
Mexico City,8919000,1485,6006.060606
Amsterdam,905234,219.32,4127.457596
Płock,126675,88.04,1438.834621
Moscow,13197596,2511,5255.912386
Belgrade,1166000,360,3238.888889
Port Elizabeth,1244900,1845,674.7425474
Daegu,2522000,883.5,2854.555744
Jeonju,652392,206.2,3163.879728
Sejong,344792,465.23,741.1215958
Suwon,1184922,121.02,9791.125434
Burgos,175921,107.06,1643.200075
Douliu,108372,93.72,1156.338028
Tainan,1881204,2192,858.2135036
Samut Prakan,1241610,1004,1236.663347
Bursa,3101833,10422,297.6235847
Trabzon,312060,188.85,1652.422558
London,8674000,1572,5517.811705
Chicago,2720000,606.2,4486.967997
Fresno,470508,271.4,1733.633014
Tucson,542629,625.04,868.1508383
Haiphong,2103000,1523.1849,1380.659695
Kumamoto,734474,389.53,1885.538983
Saitama,1222434,217.49,5620.644627
Santa Cruz de Tenerife,204856,150.56,1360.626993
Charlotte,874579,800.94,1091.94072
Anyang,5477614,7355,744.7469748
Karaj,1592492,162,9830.197531
Katowice,290553,164.67,1764.456185
Málaga,571026,398,1434.738693
Adana,1730000,1945,889.4601542
Potsdam,182112,188.61,965.5479561
Nashik,1364000,264.2,5162.755488
Parma,194417,260.8,745.4639571
Johannesburg,5635127,1645,3425.609119
